Timestamp,CSI_3,CSI_4,CSI_5,CSI_6,CSI_7,CSI_8,CSI_9,CSI_10,CSI_11,CSI_12,CSI_13,CSI_14,CSI_15,CSI_16,CSI_17,CSI_18,CSI_19,CSI_20,CSI_21,CSI_22,CSI_23,CSI_24,CSI_25,CSI_26,CSI_27,CSI_28,CSI_29,CSI_30,CSI_31,CSI_32,CSI_33,CSI_34,CSI_35,CSI_36,CSI_37,CSI_38,CSI_39,CSI_40,CSI_41,CSI_42,CSI_43,CSI_44,CSI_45,CSI_46,CSI_47,CSI_48,CSI_49,CSI_50,CSI_51,CSI_52,CSI_53,CSI_54,CSI_55,CSI_56,CSI_57,CSI_58,CSI_59,CSI_60,CSI_61,CSI_62,CSI_63,CSI_64
1751782232,0,0,0,6.71,23.32,22.83,22.36,22.36,22.36,21.93,21.54,20.88,20.62,21.38,22.2,22.09,22.02,23.02,25.08,27.07,28.07,30.15,31.26,33.24,34.13,36.12,37.05,38.01,39.01,40.05,20.1,38.12,37.34,37.66,35.69,34.71,33.73,31.78,29.83,27.66,26.48,24.74,21.84,21.59,20.4,17.12,17.03,17.03,17.03,16.03,14.04,13.04,11.05,10.2,9.22,8.54,6.32,2,0,0,0,0
1751782250,0,0,0,4,11.05,7.21,9.22,13,15.13,19.24,24.33,24.52,25.71,26.31,26.17,23.35,22.09,21.02,18.68,14.42,13.89,16.49,19.03,20.02,24.52,29.12,31.02,33.54,35.34,34.54,17.09,32.31,31.02,28.64,26.93,21.38,16.03,13.93,13.6,15.62,18.79,21.54,24.35,26.25,26.57,24.35,20.88,18.97,17.09,14.87,13.42,11.18,8.54,6.32,2.83,2.24,3,1,0,0,0,0
1751782255,0,0,0,2.24,8.06,6.32,9.49,11.18,14.04,18.03,20.1,22,22.09,22.09,23.02,24,22.02,20,19.24,17.46,19.42,21.21,22.2,22.83,25.08,29.12,30.81,32.28,36.06,35.47,16.55,32.2,29.55,25.5,23.32,19.72,14.76,10.63,9.22,10.44,14.42,19.21,22.36,21.93,21.93,24.17,23.77,20.59,18.6,16.64,14.76,13.6,9.9,7.81,7.21,6.32,5.1,1.41,0,0,0,0
1751782259,0,0,0,6,21.02,22.02,21,21,21,21.02,19.24,18.25,18.25,18.44,18.97,18.79,19.24,20.25,21.1,22.83,24.19,25.55,26.63,27.46,28.3,29.68,30.53,30.89,31.3,32.2,16.16,33.24,32.28,31.05,28.86,28.86,27.66,25.5,25.32,24.33,23.35,22.36,19.42,17.72,16.76,15.81,15.81,14.56,14.56,15.23,13.89,13.42,13,10.77,8.94,8.6,9.22,2.24,0,0,0,0
1751782268,0,0,0,6.32,23.77,19.24,13.42,7.28,2,3.16,7.81,13.42,15.23,18.03,20.62,21.38,22.8,21.19,18.97,15.81,13.89,13.04,12.04,9.43,6,5.66,8.06,9.22,10,10.05,6.08,16.16,18.38,15.65,13.89,16.64,17.2,15.81,17.2,16.4,10,5,3,4.12,8.06,12.81,15.81,18.79,22.85,25.3,24.52,24.33,26.31,25.08,20,14.04,12.17,3,0,0,0,0
1751782269,0,0,0,5,22.02,21.4,20.81,22.2,20.81,20,19.21,19.1,18.38,19.21,19.42,19.72,20.12,21.02,22.85,25.3,25.96,27.89,29.12,30.36,32.57,33.53,33.53,34.18,35.34,36.24,17.89,34,34.48,34.99,34.13,31.06,29.41,28.6,27.8,26.4,25,23.02,21.95,20.59,18.36,17.49,17,15.65,14.32,14.32,13.93,13,12.65,9.49,7.07,6,7.28,2.24,0,0,0,0
1751782277,0,0,0,6,25.18,25.18,24.08,23.02,22.09,21.1,20.1,19.24,18.68,18.03,19.7,20.59,21.1,22.47,24.41,25,26.25,27.66,30.48,31.89,31.89,34.06,35,34.67,35.51,36.89,18.36,36.72,36.67,36.25,35.85,33.24,30.08,29.15,28.79,28.79,26.57,24.35,23.41,21.54,19.7,19.7,18.38,17.09,17.46,16.55,16.12,14.42,12.53,10.77,10.3,9.43,8.94,2,0,0,0,0
1751782289,0,0,0,2,8.06,8.06,8.94,12.65,17.09,20.88,23.77,26.48,27.17,26.17,27.29,26.31,22.56,20.88,21.54,21.1,18.6,18.38,19.92,24.04,28.16,30.81,32.25,35.01,36.06,33.06,17.03,33.54,30.81,26.93,23.77,20.59,16.4,12.81,10.82,12.04,14.56,16.64,19.1,19.8,21.93,24.76,24.08,20.81,18.44,15.62,13.45,9.43,7.28,7,6.08,3.61,4.12,1.41,0,0,0,0
1751782298,0,0,0,7.07,29.02,27.02,25.02,24.19,26.31,27.29,24.19,22.36,22.8,22.36,22.09,24.19,25.08,25,24,24.02,23.09,23,23.09,23,23.19,23.19,22.09,21.02,16.12,12,6.08,16,16.03,16.28,15.13,14.32,13.42,11.18,10.3,8.6,9.43,10.77,11.18,10,10.63,12.21,11.66,10.77,11.18,13.15,12.37,12.17,15,17.03,17.26,18.44,20.4,6.08,0,0,0,0
1751782308,0,0,0,4.24,19.85,20.52,19.8,19.1,19.1,18.38,17.69,17.03,17.03,17.49,17.46,18.03,18.68,19.42,21.38,22.36,24.33,27.29,28.28,27.46,29.61,31.78,31.78,32.98,34.21,35.44,16.76,33.62,33.11,33.11,32.65,30.89,28.65,26.42,24.7,23.32,22.47,20.81,19.42,18.36,17,17,15.23,13.6,11.18,12.17,12.04,11.05,10.05,9,8.06,8,6.08,1.41,0,0,0,0
1751782312,0,0,0,1,4,9.43,12.73,15.81,19.24,20.62,21.19,22.56,23.54,25,25.96,25,23.41,24.17,23.26,21.1,19.8,19.72,21.54,23.77,27.07,31,34.01,36.01,35,31,16.03,36.12,35.01,34.06,32.56,27.2,21.02,15.65,12.73,12.37,14.14,15.23,16.55,19.31,22.47,23.26,23.26,21.02,20.12,18.97,16.03,14.14,13.15,10.2,6.08,4.12,5.83,2.24,0,0,0,0
1751782329,0,0,0,2,6.4,7.21,8,11.7,15.65,18.03,21.4,22.8,23.85,24.41,27.2,27.2,21.95,19.7,20.88,20.02,20.4,20.62,22.83,25.61,29,32.56,33.24,34.66,38.18,40.36,17.03,29.41,30.61,30.61,28.02,24.19,21.02,16.28,12.65,14.21,14.87,13.89,16.76,19.65,20.22,21.1,19,18,19.03,18.25,15.52,13,12.21,10.63,8.94,5.83,1.41,0,0,0,0,0
1751782330,0,0,0,7.07,25.18,26.08,25.32,23.77,21.84,19.65,18.97,21.19,20.4,18.11,18.25,18.11,17.03,15,15.03,16,14.14,12.04,11.18,9,7.62,5.39,4.47,4.24,4.47,6.08,4.12,7.62,8.25,10,10.05,9.22,10.05,11,11.05,11.18,11.7,12.17,12.04,11.18,8.25,7.21,10.82,11.18,8.54,7.62,10.82,10,8.6,7.21,8.6,12.04,12.21,2.83,0,0,0,0
1751782331,0,0,0,8.06,30.02,29.53,29.53,28.3,28.84,29.41,28.84,26.42,25.08,24.17,25.5,24.6,22.36,21.95,21.1,20.12,21.47,20.12,19.24,15,11.66,12.08,12.08,10.3,10,10,5.39,8.25,6.32,9,10.05,11.05,10,10.05,11.05,13.04,14.32,13.93,12.08,9.85,11.18,12.37,13.15,13.15,12.37,14.32,19.24,20.4,18.25,15,15,16,16.03,4.12,0,0,0,0
1751782331,0,0,0,5.39,21.95,20.25,20,20.25,19.72,21.1,20.25,19.42,20.25,21.63,22.47,21.95,21.47,21.47,22.36,21.47,21.47,20.59,21.1,21.95,21.1,21.47,21.95,21.1,20.25,20.59,8.94,17.89,17.89,17,17.89,17.46,16.55,16.16,17.09,17.09,17.09,16.16,15.65,16.55,17.72,17.72,15.23,12.53,11.18,12.65,11.7,11.18,10.82,9.43,9.43,9.43,7.81,1.41,0,0,0,0
